date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:44:49	43961/43961	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Mar%202026%2010:29:40%20GMT	https://www.boixaderaresortes.com/	/home/ofekadmin/site-mirror-santi/www.boixaderaresortes.com/index.html	(from )
14:44:49	158/158	---MCZ	200	added ('OK')	text/plain	date:Tue,%2031%20Mar%202026%2014:44:40%20GMT	https://www.boixaderaresortes.com/robots.txt		(from )
14:44:53	4163/4163	---M--	200	added ('OK')	image/png	etag:%2260b907e0-1043%22	https://www.boixaderaresortes.com/wp-content/uploads/2017/10/Logo.png	/home/ofekadmin/site-mirror-santi/www.boixaderaresortes.com/wp-content/uploads/2017/10/Logo.png	(from https://www.boixaderaresortes.com/)
14:45:10	315311/315311	---MCZ	200	added ('OK')	text/css	etag:W/%2269cba214-4cfaf%22	https://www.boixaderaresortes.com/wp-content/cache/wpo-minify/1764870478/assets/wpo-minify-header-60dc80a4.min.css	/home/ofekadmin/site-mirror-santi/www.boixaderaresortes.com/wp-content/cache/wpo-minify/1764870478/assets/wpo-minify-header-60dc80a4.min.css	(from https://www.boixaderaresortes.com/)
14:45:10	1382/1382	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22816f7619e213cd57ec73f2716a146720%22	https://www.boixaderaresortes.com/feed/	/home/ofekadmin/site-mirror-santi/www.boixaderaresortes.com/feed/index.html	(from https://www.boixaderaresortes.com/)
14:45:10	1032/1032	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22024cc86a8c7be5f791a6821323b7d4d1%22	https://www.boixaderaresortes.com/comments/feed/	/home/ofekadmin/site-mirror-santi/www.boixaderaresortes.com/comments/feed/index.html	(from https://www.boixaderaresortes.com/)
14:45:11	100727/100727	---MCZ	200	added ('OK')	application/javascript	etag:W/%2269cb170a-18977%22	https://www.boixaderaresortes.com/wp-content/cache/wpo-minify/1764870478/assets/wpo-minify-header-7af30e3d.min.js	/home/ofekadmin/site-mirror-santi/www.boixaderaresortes.com/wp-content/cache/wpo-minify/1764870478/assets/wpo-minify-header-7af30e3d.min.js	(from https://www.boixaderaresortes.com/)
14:45:12	18146/18146	---MCZ	200	added ('OK')	application/json	date:Tue,%2031%20Mar%202026%2014:45:12%20GMT	https://www.boixaderaresortes.com/wp-json/wp/v2/pages/221	/home/ofekadmin/site-mirror-santi/www.boixaderaresortes.com/wp-json/wp/v2/pages/221.json	(from https://www.boixaderaresortes.com/)
14:45:12	1082/1082	---MCZ	403	error ('Forbidden')	text/html	etag:W/%22678fb46e-43a%22	https://www.boixaderaresortes.com/xmlrpc.php?rsd	/home/ofekadmin/site-mirror-santi/www.boixaderaresortes.com/xmlrpc0db0.php	(from https://www.boixaderaresortes.com/)
14:45:13	134727/134727	---MCZ	200	added ('OK')	application/json	date:Tue,%2031%20Mar%202026%2014:45:12%20GMT	https://www.boixaderaresortes.com/wp-json/	/home/ofekadmin/site-mirror-santi/www.boixaderaresortes.com/wp-json/index.html	(from https://www.boixaderaresortes.com/)
14:45:13	1082/1082	---MCZ	403	error ('Forbidden')	text/html	etag:W/%22678fb46e-43a%22	https://www.boixaderaresortes.com/wp-includes/wlwmanifest.xml	/home/ofekadmin/site-mirror-santi/www.boixaderaresortes.com/wp-includes/wlwmanifest.xml	(from https://www.boixaderaresortes.com/)
14:45:15	2310/2310	---MCZ	200	added ('OK')	application/json	date:Tue,%2031%20Mar%202026%2014:45:14%20GMT	https://www.boixaderaresortes.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.boixaderaresortes.com%2F	/home/ofekadmin/site-mirror-santi/www.boixaderaresortes.com/wp-json/oembed/1.0/embed4897.json	(from https://www.boixaderaresortes.com/)
14:45:16	2399/2399	---MCZ	200	added ('OK')	text/xml	date:Tue,%2031%20Mar%202026%2014:45:15%20GMT	https://www.boixaderaresortes.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.boixaderaresortes.com%2F&format=xml	/home/ofekadmin/site-mirror-santi/www.boixaderaresortes.com/wp-json/oembed/1.0/embed351e	(from https://www.boixaderaresortes.com/)
14:45:16	39998/39998	---M--	200	added ('OK')	image/jpeg	etag:%2260b90442-9c3e%22	https://www.boixaderaresortes.com/wp-content/uploads/2021/03/cta-const.jpg	/home/ofekadmin/site-mirror-santi/www.boixaderaresortes.com/wp-content/uploads/2021/03/cta-const.jpg	(from https://www.boixaderaresortes.com/)
14:45:17	1884/1884	---M--	200	added ('OK')	image/png	etag:%2260b9081a-75c%22	https://www.boixaderaresortes.com/wp-content/uploads/2018/02/cropped-cropped-Icono-1-32x32.png	/home/ofekadmin/site-mirror-santi/www.boixaderaresortes.com/wp-content/uploads/2018/02/cropped-cropped-Icono-1-32x32.png	(from https://www.boixaderaresortes.com/)
14:45:18	19386/19386	---M--	200	added ('OK')	image/png	etag:%2260b90818-4bba%22	https://www.boixaderaresortes.com/wp-content/uploads/2018/02/cropped-cropped-Icono-1-192x192.png	/home/ofekadmin/site-mirror-santi/www.boixaderaresortes.com/wp-content/uploads/2018/02/cropped-cropped-Icono-1-192x192.png	(from https://www.boixaderaresortes.com/)
14:45:19	17296/17296	---M--	200	added ('OK')	image/png	etag:%2260b90819-4390%22	https://www.boixaderaresortes.com/wp-content/uploads/2018/02/cropped-cropped-Icono-1-180x180.png	/home/ofekadmin/site-mirror-santi/www.boixaderaresortes.com/wp-content/uploads/2018/02/cropped-cropped-Icono-1-180x180.png	(from https://www.boixaderaresortes.com/)
14:45:20	20444/20444	---M--	200	added ('OK')	application/octet-stream	date:Fri,%2014%20Nov%202025%2004:05:21%20GMT	https://www.boixaderaresortes.com/wp-content/fonts/montserrat/font	/home/ofekadmin/site-mirror-santi/www.boixaderaresortes.com/wp-content/fonts/montserrat/font	(from https://www.boixaderaresortes.com/)
14:45:22	288937/288937	---M--	200	added ('OK')	image/jpeg	etag:%2260b9032d-468a9%22	https://www.boixaderaresortes.com/wp-content/uploads/2021/06/slider-resortes-mediumHigh3.jpg	/home/ofekadmin/site-mirror-santi/www.boixaderaresortes.com/wp-content/uploads/2021/06/slider-resortes-mediumHigh3.jpg	(from https://www.boixaderaresortes.com/)
14:45:22	31798/31798	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Mar%202026%2011:33:22%20GMT	https://www.boixaderaresortes.com/contact/	/home/ofekadmin/site-mirror-santi/www.boixaderaresortes.com/contact/index.html	(from https://www.boixaderaresortes.com/)
14:45:22	28001/28001	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Mar%202026%2000:36:26%20GMT	https://www.boixaderaresortes.com/about/	/home/ofekadmin/site-mirror-santi/www.boixaderaresortes.com/about/index.html	(from https://www.boixaderaresortes.com/)
14:45:23	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2031%20Mar%202026%2014:45:22%20GMT	https://www.boixaderaresortes.com/contact	/home/ofekadmin/site-mirror-santi/www.boixaderaresortes.com/contact.e.delayed	(from https://www.boixaderaresortes.com/)
14:45:23	296085/296085	---M--	200	added ('OK')	image/jpeg	etag:%2260b904de-48495%22	https://www.boixaderaresortes.com/wp-content/uploads/2021/06/slider-alambre-mediumHigh.jpg	/home/ofekadmin/site-mirror-santi/www.boixaderaresortes.com/wp-content/uploads/2021/06/slider-alambre-mediumHigh.jpg	(from https://www.boixaderaresortes.com/)
14:45:23	0/-1	---M--	301	error ('')			https://www.boixaderaresortes.com/contact	/home/ofekadmin/site-mirror-santi/www.boixaderaresortes.com/contact.10.delayed	(from https://www.boixaderaresortes.com/)
14:45:25	0/-1	---M--	301	error ('')			https://www.boixaderaresortes.com/contact	/home/ofekadmin/site-mirror-santi/www.boixaderaresortes.com/contact.12.delayed	(from https://www.boixaderaresortes.com/)
14:45:25	277101/277101	---M--	200	added ('OK')	image/jpeg	etag:%2260b904b8-43a6d%22	https://www.boixaderaresortes.com/wp-content/uploads/2021/06/slider-gente-mediumHigh.jpg	/home/ofekadmin/site-mirror-santi/www.boixaderaresortes.com/wp-content/uploads/2021/06/slider-gente-mediumHigh.jpg	(from https://www.boixaderaresortes.com/)
14:45:25	81237/81237	---M--	200	added ('OK')	image/jpeg	etag:%2260b90416-13d55%22	https://www.boixaderaresortes.com/wp-content/uploads/2018/02/muestrario-resortes.jpg	/home/ofekadmin/site-mirror-santi/www.boixaderaresortes.com/wp-content/uploads/2018/02/muestrario-resortes.jpg	(from https://www.boixaderaresortes.com/)
14:45:26	11184/11184	---M--	200	added ('OK')	image/jpeg	etag:%2260b907db-2bb0%22	https://www.boixaderaresortes.com/wp-content/uploads/2016/10/Compresion.jpg	/home/ofekadmin/site-mirror-santi/www.boixaderaresortes.com/wp-content/uploads/2016/10/Compresion.jpg	(from https://www.boixaderaresortes.com/)
14:45:27	24054/24054	---M--	200	added ('OK')	image/png	etag:%2260b913fd-5df6%22	https://www.boixaderaresortes.com/wp-content/uploads/2016/10/Extension.png	/home/ofekadmin/site-mirror-santi/www.boixaderaresortes.com/wp-content/uploads/2016/10/Extension.png	(from https://www.boixaderaresortes.com/)
14:45:28	26956/26956	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Mar%202026%2011:45:26%20GMT	https://www.boixaderaresortes.com/portfolio-category/productos/	/home/ofekadmin/site-mirror-santi/www.boixaderaresortes.com/portfolio-category/productos/index.html	(from https://www.boixaderaresortes.com/)
14:45:28	10781/10781	---M--	200	added ('OK')	image/png	etag:%2260b912b3-2a1d%22	https://www.boixaderaresortes.com/wp-content/uploads/2021/06/Torsion-removebg.png	/home/ofekadmin/site-mirror-santi/www.boixaderaresortes.com/wp-content/uploads/2021/06/Torsion-removebg.png	(from https://www.boixaderaresortes.com/)
14:45:29	30323/30323	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Mar%202026%2011:45:27%20GMT	https://www.boixaderaresortes.com/portfolio/compression/	/home/ofekadmin/site-mirror-santi/www.boixaderaresortes.com/portfolio/compression/index.html	(from https://www.boixaderaresortes.com/)
